Profile Link,Name,Designation,Qualification,Research Areas
"https://business.smu.edu.sg/faculty/profile/149916/GAO,-Yini","GAO, Yini",['Assistant Professor of Operations Management'],"PhD, National University of Singapore, 2017","['Operations Management', 'Supply Chain Management', 'Business Analytics', 'Operations Strategy', 'E-Commerce and Marketplace Analytics', 'Healthcare Operations Management', 'Operations Planning, Scheduling and Control', 'Inventory, Logistics and Transportation Management', 'Business Models and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9488/GENG-Xuesong,GENG Xuesong,"['Associate Professor of Strategic Management', 'PGR Coordinator, Strategy & Organisation', 'Basket Coordinator for Managing']","PhD, University of Toronto, 2009","['Strategy and Organisation', 'Corporate Governance and Strategic Leadership', 'Innovation', 'Institutions and Institutional Change', 'Asian & ASEAN Initiatives', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/118836/Gerard-GEORGE,Gerard GEORGE,"['Dean, Lee Kong Chian School of Business', 'Lee Kong Chian Chair Professor of Innovation and Entrepreneurship']","PhD, Virginia Commonwealth University, 1997","['Strategy and Organisation', 'Corporate Governance and Strategic Leadership', 'Innovation', 'Entrepreneurship', 'Social Inclusion and Innovation', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9489/Aurobindo-GHOSH,Aurobindo GHOSH,['Assistant Professor of Finance (Education)'],"PhD, University of Illinois at Urbana Champaign, 2003","['Strategy and Organisation', 'Competitive Strategy', 'Corporate Governance and Strategic Leadership', 'Innovation', 'Finance', 'Asset Pricing and Capital Markets', 'Corporate Finance and Corporate Governance', 'Financial Innovation and FinTech', 'Behavioural Finance', 'Hedge Funds and Private Equity', 'Wealth Management', 'Quantitative Finance', 'Risk Management and Quantitative Trading', 'Computational Methods and Simulations', 'Asset Allocation and Portfolio Optimisation', 'Asian & ASEAN Initiatives', 'Social Inclusion and Innovation', 'Econometrics', 'Micro-econometrics', 'Macro-econometrics', 'Econometric Theory', 'Financial Econometrics', 'Empirical Analysis and Applied Statistics']"
https://business.smu.edu.sg/faculty/profile/9491/Jeremy-GOH,Jeremy GOH,['Associate Professor of Finance'],"PhD, Washington University in St. Louis, 1991","['Finance', 'Corporate Finance and Corporate Governance', 'Asset Pricing and Capital Markets', 'Fixed Income and Derivatives', 'Asian & ASEAN Initiatives', 'Social Inclusion and Innovation']"
https://business.smu.edu.sg/faculty/profile/149921/Kenneth-GOH,Kenneth GOH,"['Assistant Professor of Strategic Management (Education)', 'Interim Academic Director, Business Families Institute', 'Course Coordinator, Entrepreneurship Concentration']","PhD, Carnegie Mellon University, 2013","['Strategy and Organisation', 'Innovation', 'Entrepreneurship', 'Asian & ASEAN Initiatives', 'Social Inclusion and Innovation', 'Business Models and Innovation']"
https://business.smu.edu.sg/faculty/profile/9516/MA-Kheng-Min,MA Kheng Min,"['Senior Lecturer of Organisational Behaviour & Human Resources', 'Director, Undergraduate Admissions', 'Admissions Director, SUTD-SMU Dual Degree']","PhD, Monash University, 2017","['Organisational Behaviour & Human Resources', 'Leadership', 'Human Capital Strategy and Management', 'Culture and Cross-cultural Management', 'Positive Organisation (Mindfulness, Humility, Proactivity)', 'Well-being and Stress', 'Strategy and Organisation', 'Organisational Change and Change Management']"
"https://business.smu.edu.sg/faculty/profile/153971/GOMULYA,-David","GOMULYA, David","['Associate Professor of Strategic Management', 'Lee Kong Chian Fellow']","PhD, University of Washington, 2011","['Strategy and Organisation', 'Corporate Governance and Strategic Leadership', 'Entrepreneurship', 'Finance', 'Corporate Finance and Corporate Governance', 'Sustainable Finance', 'Entrepreneurial Finance', 'Communication Management', 'Corporate Communication', 'Asian & ASEAN Initiatives', 'Natural Resources and Sustainable Businesses', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9492/Gary-J-GREGURAS,Gary J. GREGURAS,['Professor of Organisational Behaviour & Human Resources'],"PhD, Bowling Green State University, 1998","['Organisational Behaviour & Human Resources', 'Ethics, Trust, Fairness', 'Leadership', 'Human Capital Strategy and Management', 'Culture and Cross-cultural Management', 'Positive Organisation (Mindfulness, Humility, Proactivity)', 'Well-being and Stress', 'Marketing', 'Service Excellence']"
https://business.smu.edu.sg/faculty/profile/9494/Jin-K-HAN,Jin K HAN,"['Professor of Marketing', 'Area Coordinator, Marketing']","PhD, Columbia University, 1993","['Marketing', 'Marketing Strategy', 'Brand Strategy', 'Luxury Marketing']"
https://business.smu.edu.sg/faculty/profile/84238/HU-Jianfeng,HU Jianfeng,['Assistant Professor of Finance'],"PhD, City University of New York, 2013","['Finance', 'Asset Pricing and Capital Markets', 'Financial Innovation and FinTech', 'Fixed Income and Derivatives']"
https://business.smu.edu.sg/faculty/profile/84239/HUANG-Dashan,HUANG Dashan,['Assistant Professor of Finance'],"PhD, Washington University in St. Louis, 2013","['Finance', 'Asset Pricing and Capital Markets', 'Behavioural Finance', 'Fixed Income and Derivatives']"
https://business.smu.edu.sg/faculty/profile/9498/Shirley-HUANG-Junying,Shirley HUANG Junying,"['Associate Professor of Quantitative Finance (Education)', 'Area Coordinator, Quantitative Finance']","PhD, University of Auckland, 2005","['Finance', 'Fixed Income and Derivatives', 'Quantitative Finance', 'Risk Management and Quantitative Trading', 'Computational Methods and Simulations', 'Asset Allocation and Portfolio Optimisation', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation']"
https://business.smu.edu.sg/faculty/profile/156401/KANG-Hye-Young,KANG Hye Young,['Assistant Professor of Strategic Management'],"PhD, Boston University, 2018","['Strategy and Organisation', 'Competitive Strategy', 'Innovation', 'Entrepreneurship']"
https://business.smu.edu.sg/faculty/profile/156861/Hulya-KARAMAN,Hulya KARAMAN,['Assistant Professor of Marketing'],"PhD, Emory University, 2018","['Marketing', 'Digital and Social Media Strategy', 'Brand Strategy', 'Service Excellence', 'Financial Impact and Marketing']"
https://business.smu.edu.sg/faculty/profile/144791/Jung-KIM,Jung KIM,['Assistant Professor of Marketing'],"PhD, Northwestern University, 2016","['Marketing', 'Consumer Behaviour', 'Consumer Judgment and Decision-making']"
https://business.smu.edu.sg/faculty/profile/149931/KIM-Junghan,KIM Junghan,['Assistant Professor of Marketing'],"PhD, State University of New York at Buffalo, 2017","['Marketing', 'New Product Development', 'Consumer Behaviour', 'Consumer Judgment and Decision-making']"
https://business.smu.edu.sg/faculty/profile/9500/Benedict-KOH,Benedict KOH,"['Professor of Finance (Education)', 'Associate Dean (PG Programmes)']","PhD, University of Pennsylvania, 1992","['Finance', 'Corporate Finance and Corporate Governance', 'Asset Pricing and Capital Markets', 'Banking and Financial Intermediation', 'Wealth Management', 'Financial Innovation and FinTech', 'Asian & ASEAN Initiatives']"
https://business.smu.edu.sg/faculty/profile/9503/Reddi-KOTHA,Reddi KOTHA,"['Associate Professor of Strategic Management', 'Academic Director, Master of Science in Innovation']","PhD, London Business School, 2007","['Strategy and Organisation', 'Innovation', 'Entrepreneurship', 'Family Business', 'Social Inclusion and Innovation', 'Business Models and Innovation']"
https://business.smu.edu.sg/faculty/profile/149166/Nirmalya-KUMAR,Nirmalya KUMAR,['Professor of Marketing'],"PhD, Northwestern University, 1991","['Strategy and Organisation', 'Competitive Strategy', 'Corporate Governance and Strategic Leadership', 'Marketing', 'Marketing Strategy', 'Brand Strategy', 'Retail Operations and Strategy', 'Business Models and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9506/Michelle-P-LEE,Michelle P LEE,"['Associate Professor of Marketing (Education)', 'Associate Dean (Undergraduate Programmes)', 'Academic Director, SMU-SUTD Joint Programme']","PhD, University of Toronto, 2001","['Marketing', 'Consumer Behaviour', 'Consumer Judgment and Decision-making']"
https://business.smu.edu.sg/faculty/profile/167726/LI-Linyi,LI Linyi,['Assistant Professor of Marketing'],"PhD, University of Utah, 2020","['Strategy and Organisation', 'Competitive Strategy', 'Operations Management', 'Business Analytics', 'E-Commerce and Marketplace Analytics', 'Marketing', 'Marketing Strategy', 'Digital and Social Media Strategy', 'Brand Strategy', 'Retail Operations and Strategy']"
https://business.smu.edu.sg/faculty/profile/149936/Weikai-LI,Weikai LI,['Assistant Professor of Finance'],"PhD, Hong Kong University of Science and Technology, 2017","['Finance', 'Asset Pricing and Capital Markets', 'Sustainable Finance', 'Behavioural Finance']"
https://business.smu.edu.sg/faculty/profile/130396/Hao-LIANG,Hao LIANG,"['Associate Professor of Finance', 'PGR Co-ordinator, Finance', 'DBS Sustainability Fellow']","PhD, Tilburg University, 2015","['Strategy and Organisation', 'Corporate Strategy', 'International Business', 'Institutions and Institutional Change', 'Finance', 'Corporate Finance and Corporate Governance', 'Financial Innovation and FinTech', 'Sustainable Finance', 'Entrepreneurial Finance', 'Social Inclusion and Innovation', 'Natural Resources and Sustainable Businesses', 'Corporate Social Responsibility']"
"https://business.smu.edu.sg/faculty/profile/153991/LIEVENS,-Filip","LIEVENS, Filip",['Lee Kong Chian Professor of Human Resources'],"PhD, Ghent University, 1999","['Organisational Behaviour & Human Resources', 'Human Capital Strategy and Management', 'Judgement and Decision-making, Negotiation', 'Culture and Cross-cultural Management']"
https://business.smu.edu.sg/faculty/profile/9510/LIM-Kian-Guan,LIM Kian Guan,['OUB Chair Professor of Finance'],"PhD, Stanford University, 1986","['Finance', 'Asset Pricing and Capital Markets', 'Fixed Income and Derivatives', 'Banking and Financial Intermediation', 'Real Estate Finance', 'Quantitative Finance', 'Risk Management and Quantitative Trading', 'Mathematical Finance', 'Computational Methods and Simulations', 'High-Frequency Data Analysis and Trading Strategies', 'Asset Allocation and Portfolio Optimisation', 'Asian & ASEAN Initiatives', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation']"
https://business.smu.edu.sg/faculty/profile/9512/LIM-Yun-Fong,LIM Yun Fong,"['Associate Professor of Operations Management', 'Academic Director, Master of Science in Management', 'MPA Research Fellow']","PhD, Georgia Institute of Technology, 2005","['Operations Management', 'Supply Chain Management', 'E-Commerce and Marketplace Analytics', 'Operations Planning, Scheduling and Control', 'Inventory, Logistics and Transportation Management', 'Asian & ASEAN Initiatives', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation']"
